,ISIN,Ticker Symbol,Shares,Exchange rate,Result,Total amount,Withholding tax,Currency (Withholding tax),Charge amount (GBP),Stamp duty (GBP),Stamp duty reserve tax (GBP),Transaction fee (GBP),Notes,Order ID,French transaction tax,Execution_Price,Trading day,Trading time,Type,Price
1,GB00BDR05C01,NG,1.0,100.0,,9.19,,,,,0.05,,,EOF155067316,,914.6,2020-03-20,09:53:00,Buy,9.146
4,US2546871060,DIS,1.0,1.17811,,81.56,,,,,,,,EOF155260423,,96.09,2020-03-20,13:30:00,Buy,81.56284217942297
5,US92826C8394,V,0.58,1.17818,,75.88,,,,,,,,EOF155268762,,154.15,2020-03-20,13:31:00,Buy,130.8373932675822
6,US2473617023,DAL,1.0,1.23997,,20.16,,,,,,,,EOF164893808,,25.0,2020-01-04,15:24:00,Buy,20.16177810753486
8,US2473617023,DAL,5.0,1.23917,,97.32,,,,,,,,EOF164951873,,24.12,2020-01-04,16:14:00,Buy,19.46464165530153
9,US2473617023,DAL,2.0,1.22116,,35.81,,,,,,,,EOF166934313,,21.87,2020-03-04,15:53:00,Buy,17.909201087490583
11,NL0000235190,AIR,3.0,1.13391,,143.29,,,,,,,,EOF167385225,0.43,54.0,2020-06-04,07:04:00,Buy,47.62282720850861
12,US02376R1023,AAL,4.0,1.24904,,40.09,,,,,,,,EOF172712517,,12.52,2020-04-13,13:32:00,Buy,10.023698200217767
14,US46131B1008,IVR,16.0,1.24855,,48.43,,,,,,,,EOF172746968,,3.78,2020-04-13,13:36:00,Buy,3.027511913820031
15,US5658491064,MRO,10.0,1.24885,,33.87,,,,,,,,EOF172750863,,4.23,2020-04-13,13:37:00,Buy,3.387116146855107
16,GB0006215205,NEX,10.0,100.0,,27.09,,,,0.13,,,,EOF173470032,,269.6,2020-04-14,07:00:00,Buy,2.696
18,US46131B1008,IVR,10.0,1.22785,,23.37,,,,,,,,EOF181515840,,2.87,2020-04-21,13:30:00,Buy,2.3374190658468055
19,US02376R1023,AAL,3.0,1.23234,,25.56,,,,,,,,EOF183752181,,10.5,2020-04-22,14:58:00,Buy,8.520375870295535
20,NL0000235190,AIR,1.0,1.14479,,44.08,,,,,,,,EOF188446611,,50.47,2020-04-27,14:21:00,Buy,44.08668838826335
22,GB0032089863,NXT,1.0,100.0,,47.24,,,,,0.24,,,EOF195378452,,4700.0,2020-01-05,07:15:00,Buy,47.0
24,GB00B03MM408,RDSB,4.0,100.0,,50.3,,,,,0.25,,,EOF205635405,,1251.4,2020-11-05,09:03:00,Buy,12.514000000000001
25,IE0005042456,ISF,9.0,100.0,,52.48,,,,,,,,EOF205637640,,583.2,2020-11-05,09:04:00,Buy,5.832000000000001
26,US0530151036,ADP,0.2,1.23217,,23.48,,,,,,,,EOF206139309,,144.71,2020-11-05,13:32:00,Buy,117.44320994667945
28,US5246601075,LEG,2.0,1.2276,,45.63,,,,,,,,EOF208675097,,28.01,2020-12-05,17:41:00,Buy,22.816878462039753
29,GB0006215205,NEX,7.0,100.0,,14.28,,,,,0.07,,,EOF209192061,,203.0,2020-05-13,07:23:00,Buy,2.03
30,GB00B1KJJ408,WTB,0.5,100.0,,13.03,,,,,0.06,,,EOF209205108,,2595.0,2020-05-13,07:29:00,Buy,25.95
31,US46131B1008,IVR,3.0,1.22228,,6.15,,,,,,,,EOF210282605,,2.51,2020-05-13,15:41:00,Buy,2.0535392872336944
33,US0970231058,BA,0.4,1.22216,,39.46,,,,,,,,EOF210464072,,120.57,2020-05-13,16:42:00,Buy,98.65320416312103
35,US2473617023,DAL,3.0,1.22179,,48.22,,,,,,,,EOF210666822,,19.64,2020-05-13,18:55:00,Buy,16.074775534257117
36,US95040Q1040,WELL,0.28,1.21912,,10.32,,,,,,,,EOF216387290,,44.96,2020-05-18,16:07:00,Buy,36.87906030579435
38,US95040Q1040,WELL,1.0,1.2181,,38.11,,,,,,,,EOF223160271,,46.43,2020-05-22,13:30:00,Buy,38.11673918397504
39,US7561091049,O,1.0,1.21752,,42.4,,,,,,,,EOF223210639,,51.63,2020-05-22,13:34:00,Buy,42.40587423615218
41,GB0002634946,BA.,10.0,100.0,,50.93,,,,,0.25,,,EOF224872259,,506.8,2020-05-26,07:00:00,Buy,5.0680000000000005
43,GB00B1KJJ408,WTB,1.0,100.0,,24.02,,,,,0.12,,,EOF224908569,,2390.0,2020-05-26,07:02:00,Buy,23.9
44,GB00BN7CG237,AML,140.0,100.0,,68.94,,,,,0.34,,,EOF224930822,,49.0,2020-05-26,07:05:00,Buy,0.49
45,US5021751020,LTC,0.05,1.23345,,1.53,,,,,,,,EOF226124971,,37.85,2020-05-26,13:49:00,Buy,30.686286432364508
48,GB00BZBX0P70,GYM,20.0,100.0,,29.15,,,,,0.15,,,EOF227220403,,145.0,2020-05-27,07:00:00,Buy,1.45
49,GB00B15FWH70,CINE,80.0,100.0,,56.4,,,,,0.28,,,EOF227236780,,70.16,2020-05-27,07:01:00,Buy,0.7016
50,GB00B1722W11,JET2,4.0,100.0,,33.56,,,,,,,,EOF227246824,,839.0,2020-05-27,07:02:00,Buy,8.39
51,US0311621009,AMGN,0.028,1.22584,,5.03,,,,,,,,EOF228413173,,220.28,2020-05-27,13:37:00,Buy,179.69718723487568
53,GB0006215205,NEX,22.0,100.0,,49.44,,,,0.25,,,,EOF229782852,,223.6,2020-05-28,07:06:00,Buy,2.2359999999999998
54,GB00BZBX0P70,GYM,10.0,100.0,2.84,17.34,,,,,,,,EOF230013125,,173.4,2020-05-28,08:16:00,Sell,1.734
55,GB0032089863,NXT,1.0,100.0,2.95,49.95,,,,,,,,EOF230017028,,4995.0,2020-05-28,08:18:00,Sell,49.95
56,GB00B15FWH70,CINE,30.0,100.0,7.01,28.06,,,,,,,,EOF230041271,,93.54,2020-05-28,08:27:00,Sell,0.9354
57,NL0000235190,AIR,4.0,1.11307,28.88,215.83,,,,,,,,EOF230260255,,60.06,2020-05-28,10:03:00,Limit,53.9588705112886
58,US46131B1008,IVR,20.0,1.2297,,48.46,,,,,,,,EOF230614352,,2.98,2020-05-28,13:30:00,Buy,2.4233552899081077
59,US0970231058,BA,0.2,1.23006,5.64,25.36,,,,,,,,EOF230667895,,156.03,2020-05-28,13:31:00,Sell,126.84747085508025
60,US2473617023,DAL,2.0,1.22995,6.01,42.65,,,,,,,,EOF230671252,,26.23,2020-05-28,13:31:00,Sell,21.326070165453878
61,NL0000235190,AIR,2.0,1.10641,,104.78,,,,,,,,EOF232242584,,57.97,2020-05-29,09:07:00,Buy,52.39468189911516
62,US01609W1027,BABA,1.0,1.23404,,162.06,,,,,,,,EOF232655802,,200.0,2020-05-29,13:30:00,Buy,162.0693008330362
63,US7427181091,PG,1.0,1.23696,,93.37,,,,,,,,EOF233054048,,115.5,2020-05-29,14:52:00,Buy,93.37407838571983
64,US08862E1091,BYND,0.25,1.23167,,25.06,,,,,,,,EOF233108284,,123.48,2020-05-29,15:10:00,Buy,100.25412651115964
65,GB0002634946,BA.,10.0,100.0,,49.79,,,,,0.25,,,EOF233144392,,495.4,2020-05-29,15:23:00,Buy,4.954
67,GB00BD0NVK62,BOWL,40.0,100.0,,73.57,,,,0.37,,,,EOF234036982,,183.0,2020-01-06,07:05:00,Buy,1.83
68,GB00B63QSB39,GRG,4.0,100.0,,74.97,,,,,0.37,,,EOF234326695,,1865.0,2020-01-06,09:19:00,Buy,18.65
69,DE0002635299,EXSH,2.0,1.12625,,25.05,,,,,,,,EOF235894038,,14.1,2020-02-06,07:05:00,Buy,12.519422863485017
71,GB00BVDPPV41,RBG,300.0,100.0,,100.7,,,,,0.5,,,EOF236890713,,33.4,2020-02-06,13:55:00,Buy,0.33399999999999996
75,GB00B63QSB39,GRG,21.0,100.0,,398.04,,,,1.98,,,,EOF240376303,,1886.0,2020-04-06,07:00:00,Buy,18.86
76,GB00BZBX0P70,GYM,225.0,100.0,,404.76,,,,2.01,,,,EOF240390684,,179.0,2020-04-06,07:00:00,Buy,1.79
77,GB0006731235,ABF,20.0,100.0,,391.25,,,,1.95,,,,EOF240391988,,1946.5,2020-04-06,07:00:00,Buy,19.465
78,GB00BN7CG237,AML,600.0,100.0,,404.01,,,,2.01,,,,EOF240483492,,67.0,2020-04-06,07:04:00,Buy,0.67
79,GB00BD0NVK62,BOWL,225.0,100.0,,397.98,,,,1.98,,,,EOF240683900,,176.0,2020-04-06,08:03:00,Buy,1.76
80,GB0032360173,HGM,20.0,100.0,,47.68,,,,,,,,EOF240849355,,238.4,2020-04-06,09:14:00,Buy,2.384
82,US37229T3014,GNUS,60.0,1.25357,,490.6,,,,,,,,EOF241540909,,10.25,2020-04-06,13:40:00,Buy,8.17664749475498
84,US98420U7037,XSPA,70.0,1.26091,,104.92,,,,,,,,EOF242404102,,1.89,2020-04-06,16:30:00,Buy,1.4989174485094099
85,US37229T3014,GNUS,10.0,1.25997,,46.43,,,,,,,,EOF242556836,,5.85,2020-04-06,17:30:00,Buy,4.642967689706897
86,US98420U7037,XSPA,70.0,1.26024,5.06,109.98,,,,,,,,EOF242565055,,1.98,2020-04-06,17:33:00,Sell,1.5711293087031042
87,US98420U7037,XSPA,30.0,1.26037,,50.7,,,,,,,,EOF242594764,,2.13,2020-04-06,17:42:00,Buy,1.689979926529511
88,GB00BVDPPV41,RBG,250.0,100.0,,63.32,,,,,0.32,,,EOF243300352,,25.2,2020-05-06,07:11:00,Buy,0.252
89,US98420U7037,XSPA,30.0,1.26978,11.67,62.37,,,,,,,,EOF244575920,,2.64,2020-05-06,13:38:00,Sell,2.0791003165902757
90,US88160R1014,TSLA,0.08,1.26954,,54.93,,,,,,,,EOF245087913,,871.7,2020-05-06,14:28:00,Buy,686.6266521732282
91,US02376R1023,AAL,4.0,1.26703,20.82,58.34,,,,,,,,EOF246176142,,18.48,2020-05-06,18:59:00,Sell,14.585290008918493
92,US2473617023,DAL,7.0,1.26729,62.38,190.62,,,,,,,,EOF246187496,,34.51,2020-05-06,19:03:00,Sell,27.23133615825896
93,GB00BVDPPV41,RBG,160.0,100.0,,52.9,,,,,0.26,,,EOF247030159,,32.9,2020-08-06,07:07:00,Buy,0.32899999999999996
94,GB00B0130H42,ITM,20.0,100.0,,57.9,,,,,,,,EOF247165068,,289.5,2020-08-06,07:24:00,Buy,2.895
95,GB00B0130H42,ITM,30.0,100.0,,95.1,,,,,,,,EOF247286067,,317.0,2020-08-06,07:46:00,Buy,3.17
96,GB00B0130H42,ITM,50.0,100.0,7.75,160.75,,,,,,,,EOF247362254,,321.5,2020-08-06,08:03:00,Sell,3.215
97,GB00BZBX0P70,GYM,235.0,100.0,8.1,425.35,,,,,,,,EOF248351403,,181.0,2020-08-06,12:55:00,Sell,1.81
98,US03743Q1085,APA,12.0,1.26842,,161.77,,,,,,,,EOF248724726,,17.1,2020-08-06,13:39:00,Buy,13.481338988663062
99,US83088V1026,WORK,4.0,1.26881,,98.01,,,,,,,,EOF248786961,,31.09,2020-08-06,13:42:00,Buy,24.50327472198359
100,GB00BZBX0P70,GYM,50.0,100.0,,89.45,,,,0.45,,,,EOF248930563,,178.0,2020-08-06,13:52:00,Buy,1.78
101,US0970231058,BA,1.0,1.26897,,180.46,,,,,,,,EOF249060614,,229.0,2020-08-06,14:04:00,Buy,180.46131902251435
102,GB00B0130H42,ITM,50.0,100.0,,135.5,,,,,,,,EOF249309851,,271.0,2020-08-06,14:31:00,Buy,2.71
103,US0028241000,ABT,0.699277,1.26863,,50.0,,,,,,,,EOF249324419,,90.71,2020-08-06,14:33:00,Buy,71.5023292843461
104,GB00BD0NVK62,BOWL,265.0,100.0,21.05,490.25,,,,,,,,EOF249439611,,185.0,2020-08-06,14:46:00,Sell,1.85
105,GB00BD0NVK62,BOWL,26.0,100.0,,48.08,,,,0.24,,,,EOF249499360,,184.0,2020-08-06,14:53:00,Buy,1.84
106,GB00BD0NVK62,BOWL,90.0,100.0,,159.19,,,,0.79,,,,EOF249516009,,176.0,2020-08-06,14:55:00,Buy,1.76
107,GB00B0130H42,ITM,50.0,100.0,15.5,151.0,,,,,,,,EOF249708708,,302.0,2020-08-06,15:23:00,Sell,3.02
108,GB00B10RZP78,ULVR,2.26347786,100.0,,100.0,,,,,0.5,,,EOF249747779,,4396.0,2020-08-06,15:29:00,Buy,43.96
109,US4523271090,ILMN,1.0,1.27117,,281.38,,,,,,,,EOF250254830,,357.68,2020-08-06,17:38:00,Buy,281.3785724962043
110,GB00B0130H42,ITM,35.0,100.0,,99.23,,,,,,,,EOF251176158,,283.5,2020-09-06,07:13:00,Buy,2.835
111,GB0032089863,NXT,0.4557644,100.0,,25.0,,,,,0.12,,,EOF251241083,,5458.0,2020-09-06,07:26:00,Buy,54.58
112,GB0006731235,ABF,20.0,100.0,19.9,409.2,,,,,,,,EOF251333660,,2046.0,2020-09-06,07:43:00,Sell,20.46
113,GB00B1KJJ408,WTB,1.0,100.0,2.62,27.2,,,,,,,,EOF251341314,,2720.0,2020-09-06,07:44:00,Sell,27.2
114,NL0000235190,AIR,2.0,1.12534,35.61,140.4,,,,,,,,EOF251364949,,79.0,2020-09-06,07:49:00,Sell,70.20100591821138
115,GB00B1KJJ408,WTB,11.05992819,100.0,,300.0,,,,,1.49,,,EOF251802387,,2699.0,2020-09-06,09:46:00,Buy,26.99
116,NL0000235190,AIR,1.0,1.12218,,67.73,,,,,,,,EOF251860134,,76.0,2020-09-06,10:14:00,Buy,67.72532035858775
117,GB00B10RZP78,ULVR,1.14581397,100.0,,50.0,,,,,0.25,,,EOF252011252,,4342.0,2020-09-06,11:34:00,Buy,43.42
118,GB00B1KJJ408,WTB,4.0,100.0,,107.62,,,,0.54,,,,EOF252013426,,2677.0,2020-09-06,11:35:00,Buy,26.77
119,GB0006731235,ABF,2.0,100.0,,41.81,,,,0.21,,,,EOF252015216,,2080.0,2020-09-06,11:36:00,Buy,20.8
120,GB0000536739,AHT,2.0,100.0,,51.4,,,,0.26,,,,EOF252048221,,2557.0,2020-09-06,11:51:00,Buy,25.57
121,GB00B1KJJ408,WTB,2.0,100.0,,53.95,,,,,0.27,,,EOF252179327,,2684.0,2020-09-06,13:00:00,Buy,26.84
122,GB00BN7CG237,AML,455.0,100.0,60.99,350.35,,,,,,,,EOF252209797,,77.0,2020-09-06,13:18:00,Sell,0.77
123,US57636Q1040,MA,0.2053015,1.26978,,50.0,,,,,,,,EOF252658353,,309.25,2020-09-06,13:55:00,Buy,243.54612610058436
124,US03743Q1085,APA,2.0,1.27188,,25.91,,,,,,,,EOF253091923,,16.48,2020-09-06,14:56:00,Buy,12.957197219863511
125,US83088V1026,WORK,2.02121,1.27214,,50.0,,,,,,,,EOF253110756,,31.47,2020-09-06,14:59:00,Buy,24.73784331913154
126,GB00B63QSB39,GRG,5.72511432,100.0,,100.0,,,,,0.5,,,EOF253125041,,1738.0,2020-09-06,15:02:00,Buy,17.38
127,GB00B0130H42,ITM,18.2815356,100.0,,50.0,,,,,,,,EOF253157056,,273.5,2020-09-06,15:08:00,Buy,2.735
128,GB00B1KJJ408,WTB,1.84332134,100.0,,50.0,,,,,0.25,,,EOF254223532,,2699.0,2020-10-06,07:16:00,Buy,26.99
130,GB00B1KJJ408,WTB,1.93283772,100.0,,50.0,,,,,0.25,,,EOF254521094,,2574.0,2020-10-06,09:32:00,Buy,25.74
131,GB00BBQ38507,KWS,1.0,100.0,,16.81,,,,,,,,EOF254530816,,1681.0,2020-10-06,09:36:00,Buy,16.81
132,GB0006731235,ABF,2.44477852,100.0,,50.0,,,,,0.25,,,EOF254612627,,2035.0,2020-10-06,10:16:00,Buy,20.35
133,GB00BZBX0P70,GYM,29.6845125,100.0,,50.0,,,,,0.25,,,EOF254674587,,167.6,2020-10-06,10:49:00,Buy,1.676
134,GB00B0130H42,ITM,16.2601626,100.0,,50.0,,,,,,,,EOF254683995,,307.5,2020-10-06,10:55:00,Buy,3.075
135,US30303M1027,FB,0.1065155,1.27776,,20.0,,,,,,,,EOF255005590,,239.92,2020-10-06,13:31:00,Buy,187.76609065865264
136,US2473617023,DAL,0.788629,1.27758,,20.0,,,,,,,,EOF255032186,,32.4,2020-10-06,13:32:00,Buy,25.360447095289533
137,PA1436583006,CCL,1.0,1.27719,,17.15,,,,,,,,EOF255053172,,21.9,2020-10-06,13:34:00,Buy,17.14701806309163
138,US02376R1023,AAL,3.808751,1.27517,,50.0,,,,,,,,EOF255169434,,16.74,2020-10-06,13:43:00,Buy,13.127661409851235
139,GB00B0130H42,ITM,69.0,100.0,23.47,221.15,,,,,,,,EOF255926753,,320.5,2020-10-06,15:28:00,Sell,3.205
140,US8522341036,SQ,0.693436,1.28063,,50.0,,,,,,,,EOF256404059,,92.34,2020-10-06,18:20:00,Buy,72.10513575349633
141,GB00BZBX0P70,GYM,30.0,100.0,,48.3,,,,,0.24,,,EOF256954759,,160.2,2020-11-06,07:06:00,Buy,1.6019999999999999
142,GB00B15FWH70,CINE,60.0,100.0,,48.78,,,,,0.24,,,EOF256958490,,80.9,2020-11-06,07:06:00,Buy,0.809
143,GB0002634946,BA.,5.0,100.0,,25.87,,,,,0.13,,,EOF256976694,,514.8,2020-11-06,07:08:00,Buy,5.148
144,GB00BVDPPV41,RBG,80.0,100.0,,20.18,,,,,0.1,,,EOF257000168,,25.1,2020-11-06,07:12:00,Buy,0.251
145,GB0032089863,NXT,0.5,100.0,,25.06,,,,,0.12,,,EOF257020874,,4987.0,2020-11-06,07:16:00,Buy,49.87
146,IE00B3VVMM84,VFEM,0.5,1.0,,21.3,,,,,,,,EOF257026874,,42.6,2020-11-06,07:17:00,Buy,42.6
148,GB00B1KJJ408,WTB,4.254061,100.0,,100.0,,,,,0.5,,,EOF257214881,,2339.0,2020-11-06,08:16:00,Buy,23.39
149,GB0002634946,BA.,25.0,100.0,3.69,129.65,,,,,,,,EOF257221746,,518.6,2020-11-06,08:18:00,Sell,5.186
150,GB00BN7CG237,AML,72.051039,100.0,,50.0,,,,,0.25,,,EOF257236810,,69.05,2020-11-06,08:25:00,Buy,0.6905
151,GB0005603997,LGEN,66.0,100.0,,150.11,,,,,0.75,,,EOF257405996,,226.3,2020-11-06,09:29:00,Buy,2.263
152,GB00BD0NVK62,BOWL,30.2439167,100.0,,50.0,,,,,0.25,,,EOF257588338,,164.5,2020-11-06,11:11:00,Buy,1.645
153,GB00B15FWH70,CINE,65.410521,100.0,,50.0,,,,,0.25,,,EOF257789674,,76.06,2020-11-06,12:42:00,Buy,0.7606
154,US46131B1008,IVR,25.0,1.26359,22.15,86.66,,,,,,,,EOF258947063,,4.38,2020-11-06,16:04:00,Sell,3.4663142316732483
155,US08862E1091,BYND,0.25,1.25922,3.07,28.13,,,,,,,,EOF259502824,,141.68,2020-11-06,19:20:00,Sell,112.5140960276997
156,US92826C8394,V,0.58,1.25913,11.45,87.34,,,,,,,,EOF259506458,,189.6,2020-11-06,19:21:00,Sell,150.58016249315003
157,US2546871060,DIS,1.0,1.25893,7.85,89.41,,,,,,,,EOF259514396,,112.56,2020-11-06,19:24:00,Sell,89.40926024481107
158,US2473617023,DAL,0.788629,1.25893,0.89,16.91,,,,,,,,EOF259518641,,27.0,2020-11-06,19:25:00,Sell,21.44678417386193
159,US01609W1027,BABA,1.0,1.25885,7.83,169.9,,,,,,,,EOF259520941,,213.88,2020-11-06,19:25:00,Sell,169.90110021050958
160,US5658491064,MRO,5.0,1.25893,8.04,24.98,,,,,,,,EOF259528886,,6.29,2020-11-06,19:27:00,Sell,4.996306387170057
161,US5246601075,LEG,1.0,1.25904,3.6,26.42,,,,,,,,EOF259538446,,33.27,2020-11-06,19:30:00,Sell,26.424895158215786
162,US83088V1026,WORK,1.0,1.259,,23.62,,,,,,,,EOF259564541,,29.74,2020-11-06,19:39:00,Buy,23.621922160444797
163,GB0006731235,ABF,5.16359558,100.0,,100.0,,,,,0.5,,,EOF260764366,,1927.0,2020-12-06,12:13:00,Buy,19.27
164,GB00B1KJJ408,WTB,2.0,100.0,,47.92,,,,,0.24,,,EOF260771955,,2384.0,2020-12-06,12:17:00,Buy,23.84
165,GB0032089863,NXT,1.0,100.0,,50.75,,,,,0.25,,,EOF260779971,,5050.0,2020-12-06,12:21:00,Buy,50.5
166,GB00B63QSB39,GRG,6.0,100.0,,99.74,,,,,0.5,,,EOF260783681,,1654.0,2020-12-06,12:24:00,Buy,16.54
167,US8522341036,SQ,0.709945,1.25902,,50.0,,,,,,,,EOF260990665,,88.67,2020-12-06,13:32:00,Buy,70.4277930453845
168,GB00B63QSB39,GRG,3.0,100.0,,49.51,,,,,0.25,,,EOF261607472,,1642.0,2020-12-06,15:03:00,Buy,16.42
169,GB0002634946,BA.,18.0,100.0,,91.31,,,,,0.45,,,EOF261612038,,504.8,2020-12-06,15:03:00,Buy,5.048
170,US92826C8394,V,0.3,1.25275,,45.57,,,,,,,,EOF261621707,,190.28,2020-12-06,15:05:00,Buy,151.88984234683696
171,US8522341036,SQ,1.0,1.25316,,68.16,,,,,,,,EOF261625439,,85.42,2020-12-06,15:05:00,Buy,68.16368221136966
172,US37229T3014,GNUS,16.0,1.25349,,49.65,,,,,,,,EOF261640210,,3.89,2020-12-06,15:08:00,Buy,3.1033354873194043
173,US08862E1091,BYND,0.4,1.25008,,46.17,,,,,,,,EOF262212815,,144.28,2020-12-06,19:03:00,Buy,115.41661333674644
177,GB00BD0NVK62,BOWL,30.0,100.0,,51.1,,,,0.25,,,,EOF267655107,,169.5,2020-06-17,07:07:00,Buy,1.695
179,US87663X1028,TTCF,3.0,1.23845,,44.4,,,,,,,,EOF272659598,,18.33,2020-06-19,13:35:00,Buy,14.80075901328273
180,US87663X1028,TTCF,1.0,1.23831,,14.37,,,,,,,,EOF272841491,,17.8,2020-06-19,14:03:00,Buy,14.374429666238663
181,US0378331005,AAPL,0.15,1.23535,,42.09,,,,,,,,EOF273535919,,346.61,2020-06-19,18:07:00,Buy,280.57635487918407
182,GB0000536739,AHT,2.0,100.0,4.14,55.28,,,,,,,,EOF274419263,,2764.0,2020-06-22,09:10:00,Sell,27.64
183,US95040Q1040,WELL,1.0,1.23975,,41.65,,,,,,,,EOF275000883,,51.63,2020-06-22,13:35:00,Buy,41.64549304295221
184,US0378331005,AAPL,0.2,1.24675,,57.33,,,,,,,,EOF276004193,,357.4,2020-06-22,18:27:00,Buy,286.6653298576298
185,GB00B1KJJ408,WTB,4.0,100.0,,98.21,,,,,0.49,,,EOF277090646,,2443.0,2020-06-23,13:04:00,Buy,24.43
186,US37229T3014,GNUS,23.0,1.24847,-110.11,46.79,,,,,,,,EOF277285824,,2.54,2020-06-23,13:38:00,Sell,2.034490216024414
188,US8522341036,SQ,2.403381,1.2422,24.89,193.05,,,,,,,,EOF280139880,,99.78,2020-06-24,15:42:00,Sell,80.32522943165353
189,GB00BBQ38507,KWS,1.0,100.0,0.99,17.8,,,,,,,,EOF281370718,,1780.0,2020-06-25,10:11:00,Sell,17.8
190,GB00B1KJJ408,WTB,2.0,100.0,,44.24,,,,,0.22,,,EOF283392902,,2201.0,2020-06-26,10:09:00,Buy,22.01
191,GB00B15FWH70,CINE,70.0,100.0,,46.86,,,,,0.23,,,EOF283406362,,66.62,2020-06-26,10:19:00,Buy,0.6662
192,GB00BG11K365,RDW,10.0,100.0,,47.17,,,,,0.23,,,EOF283458667,,469.4,2020-06-26,10:55:00,Buy,4.694
193,GB0032089863,NXT,1.0,100.0,,48.82,,,,,0.24,,,EOF283486915,,4858.0,2020-06-26,11:15:00,Buy,48.58
194,GB00BZBX0P70,GYM,30.0,100.0,,48.48,,,,,0.24,,,EOF283541479,,160.8,2020-06-26,11:50:00,Buy,1.608
195,US30303M1027,FB,0.2,1.23551,,36.47,,,,,,,,EOF284054295,,225.31,2020-06-26,14:09:00,Buy,182.36193960388826
196,US90353T1007,UBER,2.0,1.23521,,47.88,,,,,,,,EOF284146494,,29.57,2020-06-26,14:24:00,Buy,23.939249196492906
197,US0311621009,AMGN,0.028,1.23314,0.28,5.31,,,,,,,,EOF284482497,,233.88,2020-06-26,15:38:00,Sell,189.66216325802424
198,US0530151036,ADP,0.2,1.23319,0.13,23.62,,,,,,,,EOF284484748,,145.64,2020-06-26,15:39:00,Sell,118.10021164621833
199,US2473617023,DAL,2.0,1.23323,2.91,43.54,,,,,,,,EOF284485457,,26.85,2020-06-26,15:39:00,Sell,21.77209441872157
200,US5658491064,MRO,5.0,1.23379,6.13,23.06,,,,,,,,EOF284642725,,5.69,2020-06-26,16:36:00,Sell,4.611805898896895
201,US4523271090,ILMN,1.0,1.23357,10.59,291.96,,,,,,0.01,,EOF284645034,,360.17,2020-06-26,16:37:00,Sell,291.9737023436043
202,US46131B1008,IVR,24.0,1.23381,10.53,72.46,,,,,,,,EOF284648794,,3.73,2020-06-26,16:39:00,Sell,3.0231559154164738
203,US5246601075,LEG,1.0,1.23372,3.69,26.5,,,,,,,,EOF284652559,,32.69,2020-06-26,16:40:00,Sell,26.4970982070486
205,GB00B03MM408,RDSB,4.0,100.0,0.72,50.78,,,,,,,,EOF286218727,,1269.6,2020-06-29,12:24:00,Sell,12.696
206,US83088V1026,WORK,6.0,1.23028,9.39,156.06,,,,,,,,EOF286503262,,32.0,2020-06-29,13:33:00,Limit,26.010339109796142
207,US0028241000,ABT,0.699277,1.23022,0.71,50.71,,,,,,,,EOF286514995,,89.21,2020-06-29,13:34:00,Sell,72.51548503519695
208,US30303M1027,FB,0.2930966,1.23007,,50.0,,,,,,,,EOF286564083,,209.84,2020-06-29,13:38:00,Buy,170.59191753314852
209,US30303M1027,FB,0.2215002,1.23802,,40.0,,,,,,,,EOF290295967,,223.57,2020-06-30,17:20:00,Buy,180.58674334824963
213,GB0006731235,ABF,9.6083741,100.0,8.14,198.99,,,,,,,,EOF293626665,,2071.0,2020-02-07,11:24:00,Sell,20.71
215,US7427181091,PG,1.0,1.25175,4.08,97.45,,,,,,,,EOF297547613,,121.98,2020-06-07,13:35:00,Sell,97.44757339724387
216,US2473617023,DAL,2.0,1.25187,,45.24,,,,,,,,EOF297721970,,28.32,2020-06-07,13:46:00,Buy,22.622157252749886
217,US88160R1014,TSLA,0.04706204,1.24997,,50.0,,,,,,,,EOF298860286,,1328.0,2020-06-07,17:48:00,Buy,1062.4254982119571
218,US25746U1097,D,0.831277,1.24941,,50.0,,,,,,,,EOF298897017,,75.15,2020-06-07,18:03:00,Buy,60.14839004009894
219,US25746U1097,D,0.83213,1.24903,,50.0,,,,,,,,EOF298908623,,75.05,2020-06-07,18:07:00,Buy,60.08662722272483
220,US46131B1008,IVR,19.0,1.25649,,48.24,,,,,,,,EOF300639404,,3.19,2020-07-07,14:11:00,Buy,2.538818454583801
221,GB0004915632,KIE,132.0,100.0,,99.63,,,,,0.5,,,EOF300734765,,75.1,2020-07-07,14:25:00,Buy,0.7509999999999999
222,US25746U1097,D,0.8591,1.25635,,50.0,,,,,,,,EOF300824481,,73.12,2020-07-07,14:41:00,Buy,58.200342261312535
223,JE00BG6L7297,BOO,21.0,100.0,,48.76,,,,,,,,EOF302477157,,232.2,2020-08-07,11:22:00,Buy,2.322
224,JE00BG6L7297,BOO,56.0,100.0,,148.29,,,,,,,,EOF304427533,,264.8,2020-09-07,07:17:00,Buy,2.648
225,JE00BG6L7297,BOO,77.0,100.0,22.4,219.45,,,,,,,,EOF307024626,,285.0,2020-10-07,09:21:00,Limit,2.85
226,US8522341036,SQ,0.5007315,1.26485,,50.0,,,,,,,,EOF308121281,,126.3,2020-10-07,15:38:00,Buy,99.85373759734355
227,JE00BG6L7297,BOO,20.0,100.0,,49.14,,,,,,,,EOF309168370,,245.7,2020-07-13,07:08:00,Buy,2.457
228,US88160R1014,TSLA,0.07274466,1.26204,,100.0,,,,,,,,EOF310099844,,1734.89,2020-07-13,13:40:00,Buy,1374.6711673164084
